	location
EPI_ISL_17051410|H5N1|a/canada_goose/bc/aivphl-241/2022|2022-09-12|2022.696	North America
EPI_ISL_13486869|H5N1|a/greylag_goose/scotland/024915/2022|2022-03-07|2022.178	Europe
EPI_ISL_18133082|H5N1|a/american_black_duck/connecticut/usda-005313-008/2022|2022-02-16|2022.126	North America
EPI_ISL_17971921|H5N1|a/black-headed_gull/england/076101/2023|2023-05-25|2023.395	Europe
EPI_ISL_2555532|H5N8|a/cygnus_columbianus/hubei/116/2020|2020-11-16|2020.874	Asia
EPI_ISL_5260448|H5N8|a/goose/hunan/s11288/2021|2021-03-19|2021.211	Asia
EPI_ISL_17774571|H5N1|a/vulpes_vulpes/belgium/04018_0005/2023|2023-04-24|2023.31	Europe
EPI_ISL_17373077|H5N1|a/vulture/tennessee/w22-1150b/2022|2022-12-05|2022.926	North America
EPI_ISL_1039240|H5N8|a/chicken/astrakhan/321-10/2020|2020-12-12|2020.945	Europe
EPI_ISL_18691824|H5N1|a/chicken/colorado/23-030833-001-original/2023|2023-10-11|2023.775	North America
EPI_ISL_5099463|H5N8|a/chicken/germany-mv/ai01794/2021|2021-02-26|2021.153	Europe
EPI_ISL_18257965|H5N1|a/black-headed_gull/sweden/sva230621sz0030/fb002052/h-2023|2023-06-20|2023.466	Europe
EPI_ISL_18075144|H5N1|a/black-headed_gull/netherlands/49/2023|2023-03-07|2023.178	Europe
EPI_ISL_16271844|H5N1|a/chinese_ringneck_pheasant/wisconsin/22-035394-002-original/2022|2022-11-03|2022.838	North America
EPI_ISL_11208196|H5N6|a/duck/hunan/s40199/2021(h5n6)|2021-12-01|2021.915	Asia
EPI_ISL_4061484|H5N1|a/chicken/nigeria/vrd21-102_21vir2370-424/2021|2021-03-01|2021.162	Africa
EPI_ISL_2932616|H5N8|a/chicken/kazakhstan/12-20-b-talg-45/2020|2020-09-19|2020.716	Asia
EPI_ISL_7952117|H5N1|a/chicken/netherlands/21040808-001-005/2021|2021-12-16|2021.956	Europe
EPI_ISL_654839|H5N8|a/goose/kurgan/01/2020|2020-08-27|2020.653	Europe
EPI_ISL_18317773|H5N1|a/european_herring_gull/leningrad_region/rii-wd485s/2023|2023-08-28|2023.655	Europe
EPI_ISL_18697733|H5N1|a/turkey/minnesota/23-032152-001-original/2023|2023-10-19|2023.797	North America
EPI_ISL_17679805|H5N1|a/turkey/spain/613-56_23vir1687-22/2023|2023-02-07|2023.101	Europe
EPI_ISL_18245329|H5N1|a/white-fronted_goose/korea/22wc250/2022|2022-12-23|2022.975	Asia
EPI_ISL_984688|H5N8|a/barnacle_goose/denmark/14538-1/2020|2020-11-15|2020.872	Europe
EPI_ISL_14761395|H5N1|a/herring_gull/italy/22vir1710-3/2022|2022-02-01|2022.085	Europe
EPI_ISL_18132887|H5N1|a/black_vulture/florida/usda-010682-004/2022|2022-04-05|2022.258	North America
EPI_ISL_16297341|H5N1|a/chicken/guinea_fowl/kansas/22-033226-001-original/2022|2022-10-14|2022.784	North America
EPI_ISL_18361625|H5N8|a/whooper_swan/denmark/00120-1.02/2022-01-03|2022-01-03|2022.005	Europe
EPI_ISL_631824|H5N8|a/mandarin_duck/korea/h242/2020|2020-10-21|2020.803	Asia
EPI_ISL_16102282|H5N1|a/duck/indiana/22-011946-004-original/2022|2022-04-17|2022.29	North America
EPI_ISL_18538405|H5N1|a/pheasant/england/121404/2023|2023-09-26|2023.734	Europe
EPI_ISL_1114737|H5N8|a/chicken/kostroma/304-01/2020|2020-10-17|2020.792	Europe
EPI_ISL_18755251|H5N1|a/frigatebird/rio_de_janeiro/mapa-1532n/2023|2023-06-03|2023.419	South America
EPI_ISL_18054506|H5N1|a/pelican/peru/piu-019/2022|2022-11-24|2022.896	South America
EPI_ISL_18132516|H5N1|a/vulture/wyoming/usda-011672-001/2022|2022-04-13|2022.279	North America
EPI_ISL_7778775|H5N1|a/barnacle_goose/finland/6955_21vir7689-9/2021|2021-06-01|2021.414	Europe
EPI_ISL_17015363|H5N1|a/chicken/czech_republic/2750-4/2023|2023-02-16|2023.126	Europe
EPI_ISL_8377417|H5N1|a/chicken/france/21p013076/2021|2021-11-25|2021.899	Europe
EPI_ISL_18132947|H5N1|a/bald_eagle/ohio/usda-011360-001/2022|2022-04-13|2022.279	North America
EPI_ISL_17710052|H5N1|a/black-headed_gull/england/400174/2023|2023-04-18|2023.293	Europe
EPI_ISL_17851880|H5N1|a/chicken/ohio/oh22-26275-2/2022|2022-11-03|2022.838	North America
EPI_ISL_5115621|H5N8|a/chicken/germany-mv/ai02141/2021|2021-03-04|2021.17	Europe
EPI_ISL_17606864|H5N1|a/chicken/korea/h384/2022|2022-04-07|2022.263	Asia
